company,price,change
Microsoft Corporation (MSFT),356.53,(+1.06%)
International Business Machines Corporation (IBM),148.97,(+0.72%)
General Electric Company (GE),111.78,(+2.63%)
Union Pacific Corporation (UNP),213.10,(+0.46%)
Costco Wholesale Corporation (COST),569.82,(+1.59%)
McDonald's Corporation (MCD),268.91,(+0.39%)
Visa Inc. (V),243.49,(-0.05%)
Walmart Inc. (WMT),164.88,(+0.13%)
The Walt Disney Company (DIS),84.02,(-1.23%)
3M Company (MMM),93.52,(-0.36%)
Intel Corporation (INTC),37.95,(-0.17%)
American Express Company (AXP),152.99,(+0.15%)
Apple Inc. (AAPL),179.23,(+1.46%)
The Boeing Company (BA),192.95,(-1.08%)
"Cisco Systems, Inc. (CSCO)",53.29,(+0.53%)
"The Goldman Sachs Group, Inc. (GS)",323.91,(-1.13%)
JPMorgan Chase & Co. (JPM),144.08,(+0.76%)
"Salesforce, Inc. (CRM)",207.42,(-0.02%)
Verizon Communications Inc. (VZ),35.64,(-1.05%)
